procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 353792 233912 293908 2781908    0    0    12    16   65   35  3  1 96  0  0
 1  0 353792 226524 293908 2781896    0    0     0     0 1410 2113  2  1 97  0  0
 0  0 353792 216948 293908 2781896    0    0     0     0 1372 1874  1  1 99  0  0
 0  0 353792 207120 293908 2781896    0    0     0     0 1248 1774  1  1 98  0  0
 0  0 353792 197292 293916 2781888    0    0     0   116 1218 1710  1  1 98  0  0
 0  0 353792 187780 293916 2781912    0    0     0     0 1309 1838  1  1 98  0  0
 2  0 353792 174548 293924 2784120    0    0     8     0 4159 9913  7  4 89  0  0
 1  0 353792 161136 293924 2786872    0    0     0     4 6313 13563 10  6 84  0  0
 1  0 353792 149944 293932 2788212    0    0     4   120 5791 17977 21  4 75  0  0
 3  0 353792 136216 293932 2791040    0    0     0   384 4463 14401 17  3 80  0  0
 1  0 353792 126932 293932 2791436    0    0     0     0 5476 11897 12  3 85  0  0
 2  0 353792 223456 293932 2790416    0    0     0     0 3895 5797  3  4 94  0  0
 1  0 353792 222448 293932 2791240    0    0     0     4 5258 16112 10  7 83  0  0
 1  0 353792 225364 293940 2787608    0    0     0    72 7385 14759 14  6 81  0  0
 0  0 353792 225520 293940 2787264    0    0     0    16 4406 9583  7  5 88  0  0
 0  0 353792 226860 293940 2785576    0    0     0     0 3773 7659  4  4 92  0  0
 3  0 353792 221612 293940 2790424    0    0     0     0 3844 8018  5  4 91  0  0
 1  0 353792 219468 293940 2792324    0    0     0     0 4316 8636  6  5 90  0  0
